ID,CAS,Chemical,Y_Exp.,Y_Pred._Mod.3,Y_Pred._MCI,Y_Pred._BCFWIN,VIM_D_deg,MATS2m,GATS2e,H6p,nHAcc
1,107-06-2,"1,2-Dichloroethane",0.3,0.35,0.57,0.44,1.97,0.99,2.33,0,0
2,67-66-3,Trichloromethane,0.78,0.27,1.23,0.82,1.97,0.97,1.97,0,0
3,79-34-5,"1,1,2,2-Tetrachloroethane",0.9,1.46,1.78,1.14,2.56,0.99,2.33,0,0
4,79-01-6,Trichloroethylene,1.59,1.11,1.78,1.16,2.29,1,2.15,0,0
5,71-55-6,"1,1,1-Trichloroethane",0.95,1.65,1.52,1.22,2.29,1,0.75,0,0
6,127-18-4,Tetrachloroethylene,1.74,1.46,2.37,1.92,2.56,1,2.5,0,0
7,56-23-5,Tetrachloromethane,1.48,1.51,1.54,1.48,2.29,0.97,0,0,0
8,76-01-7,Pentachloroethane,1.83,1.96,2.18,1.78,2.78,1,2.14,0,0
9,67-72-1,Hexachloroethane,2.92,2.25,2.6,2.49,2.98,1,2.33,0,0
10,87-68-3,"1,1,2,3,4,4-Hexachloro-1,3-Butadiene",3.83,2.96,3.7,2.98,3.29,1.01,2.5,0,0
11,71-43-2,Benzene,0.64,0.64,1.2,0.94,2.59,0.94,2.44,0,0
12,108-88-3,Toluene,1.12,1.27,1.69,1.4,2.8,0.95,2.03,0,0
13,100-42-5,Styrene,1.13,1.4,1.84,1.57,2.98,0.94,2.19,0.01,0
14,100-41-4,Ethylbenzene,1.19,1.47,1.7,1.73,2.98,0.95,2.17,0.01,0
15,95-47-6,o-Xylene,1.24,1.74,2.19,1.7,2.98,0.95,1.79,0,0
16,108-38-3,m-Xylene,1.27,1.66,2.2,1.76,2.98,0.95,1.79,0.05,0
17,106-42-3,p-Xylene,1.27,1.73,2.19,1.73,2.98,0.95,1.79,0,0
18,622-97-9,p-Methylstyrene,1.5,1.87,2.34,1.95,3.14,0.95,1.9,0.01,0
19,100-80-1,m-Methylstyrene,1.55,1.87,2.35,1.95,3.15,0.95,1.9,0.01,0
20,98-82-8,Isopropylbenzene,1.55,1.76,2.26,2.12,3.15,0.94,2.05,0.01,0
21,2719-61-1,2-Phenyldodecane,2.65,2.72,3.7,1.68,4.14,0.93,2.55,0.21,0
22,29082-74-4,Octachlorostyrene,4.52,4.32,4.83,4.18,3.97,1.03,2.19,0.08,0
23,91-20-3,Naphtalene,1.64,2.07,2.21,1.84,3.31,0.95,2.04,0,0
24,208-96-8,Acenaphtylene,2.58,2.68,2.69,2.33,3.57,0.95,1.76,0,0
25,83-32-9,Acenaphtalene,2.59,2.63,2.53,2.32,3.57,0.95,1.83,0,0
26,92-52-4,Biphenyl,2.64,2.45,2.87,2.37,3.56,0.94,2.14,0,0
27,120-12-7,Anthracene,2.83,2.94,3.35,2.73,3.79,0.95,1.88,0.02,0
28,91-57-6,2-Methylnaphtalene,3.2,2.43,2.73,2.27,3.44,0.95,1.8,0.01,0
29,86-73-7,Fluorene,3.23,2.76,2.97,2.52,3.68,0.95,1.85,0.02,0
30,85-01-8,Phenanthrene,3.42,2.94,3.33,2.73,3.79,0.95,1.88,0.02,0
31,50-32-8,Benzo[a]pyrene,3.42,3.92,4.76,4.02,4.3,0.95,1.65,0.05,0
32,129-00-0,Pyrene,3.43,3.44,3.8,3.06,3.99,0.95,1.69,0,0
33,2531-84-2,2-Methylphenanthrene,3.48,3.19,3.78,3.04,3.88,0.95,1.71,0.04,0
34,24423-11-8,2-Chlorophenanthrene,3.63,3.67,3.81,3.27,3.88,0.97,1.12,0.02,0
35,779-02-2,9-Methylanthracene,3.66,3.19,3.78,3.2,3.89,0.95,1.71,0.03,0
36,56-55-3,Benzo[a]anthracene,4,3.56,4.37,3.74,4.15,0.95,1.79,0.05,0
37,108-90-7,Chlorobenzene,1.85,1.97,1.73,1.49,2.8,0.98,1.22,0,0
38,95-50-1,"1,2-Dichlorobenzene",2.48,2.56,2.26,1.94,2.98,0.99,1.29,0,0
39,106-46-7,"1,4-Dichlorobenzene",2.52,2.55,2.26,1.95,2.98,0.99,1.29,0,0
40,541-73-1,"1,3-Dichlorobenzene",2.65,2.56,2.27,2.02,2.98,0.99,1.29,0,0
41,87-61-6,"1,2,3-Trichlorobenzene",3.11,2.99,2.76,2.42,3.15,1.01,1.44,0,0
42,120-82-1,"1,2,4-Trichlorobenzene",3.26,2.99,2.77,2.4,3.15,1.01,1.44,0,0
43,634-90-2,"1,2,3,5 Tetrachlorobenzene",3.36,3.29,3.24,2.81,3.3,1.02,1.65,0,0
44,108-70-3,"1,3,5-Trichlorobenzene",3.38,2.99,2.79,2.53,3.15,1.01,1.44,0,0
45,95-94-3,"1,2,4,5-Tetrachlorobenzene",3.76,3.29,3.24,2.87,3.3,1.02,1.65,0,0
46,634-66-2,"1,2,3,4-Tetrachlorobenzene",3.77,3.29,3.22,2.84,3.3,1.02,1.65,0,0
47,608-93-5,Pentachlorobenzene,3.86,3.52,3.64,3.28,3.44,1.02,1.97,0,0
48,6639-30-1,"2,4,5-Trichlorotoluene",3.87,3.33,3.21,2.81,3.3,1.01,1.24,0,0
49,118-74-1,Hexachlorobenzene,4.26,3.64,3.99,3.71,3.56,1.03,2.44,0,0
50,108-86-1,Bromobenzene,1.7,2.1,1.96,1.6,2.8,0.98,1.25,0,0
51,108-36-1,"1,3-Dibromobenzene",2.8,2.78,2.68,2.19,2.98,1.01,1.24,0,0
52,106-37-6,"1,4-Dibromobenzene",2.83,2.77,2.67,2.22,2.98,1.01,1.24,0,0
53,87-82-1,Hexabromobenzene,3.04,3.83,3.84,3.97,3.56,1.04,2.44,0,0
54,583-53-9,"1,2-Dibromobenzene",3.1,2.78,2.67,2.1,2.98,1.01,1.24,0,0
55,615-54-3,"1,2,4-Tribromobenzene",3.66,3.22,3.26,2.89,3.15,1.02,1.36,0,0
56,636-28-2,"1,2,4,5-Tetrabromobenzene",3.79,3.52,3.67,3.25,3.3,1.03,1.57,0,0
