Code,Compound,Obs,Pred,Dev.,log_P,eLumo,eHomo,IL,abs dev
1,2-bromo-7-aminofluorene,2.62,2.62,0,3.92,-0.405,-8.236,1,0
2,2-methoxy-5-methylaniline(p-cresidine),-2.05,-2.06,0.01,1.74,0.419,-8.449,0,0.01
3,5-aminoquinoline,-2,-2.02,0.02,1.16,-0.395,-8.395,0,0.02
4,4-ethoxyaniline,-2.3,-2.32,0.02,1.24,0.513,-8.182,0,0.02
5,1-aminonaphthalene,-0.6,-0.63,0.03,2.25,-0.195,-8.108,0,0.03
6,4-aminofluorene,1.13,1.1,0.03,2.7,-0.157,-8.256,1,0.03
7,2-aminoanthracene,2.62,2.65,-0.03,3.26,-0.771,-7.869,1,0.03
8,7-aminofluoranthene,2.88,2.83,0.05,3.72,-0.895,-8.186,1,0.05
9,8-aminoquinoline,-1.14,-1.08,-0.06,1.79,-0.294,-8.134,0,0.06
10,"1,7-diaminophenazine",0.75,0.82,-0.07,1.64,-1.045,-8.089,1,0.07
11,2-aminonaphthalene,-0.67,-0.74,0.07,2.28,-0.198,-8.227,0,0.07
12,4-aminopyrene,3.16,3.25,-0.09,3.72,-0.85,-7.837,1,0.09
13,3-amino-3’-nitrobiphenyl,-0.55,-0.44,-0.11,2.68,-1.034,-8.801,0,0.11
14,"2,4,5-trimethylaniline",-1.32,-1.19,-0.13,2.41,0.581,-8.244,0,0.13
15,3-aminofluorene,0.89,1.02,-0.13,2.7,-0.182,-8.333,1,0.13
16,"3,3’-dichlorobenzidine",0.81,0.67,0.14,3.51,-0.142,-8.125,0,0.14
17,"2,4-dimethyllaniline(2,4-xylidine)",-2.22,-2.05,-0.17,1.68,0.605,-8.288,0,0.17
18,"2,7-diaminofluorene",0.48,0.31,0.17,1.47,0,-7.753,1,0.17
19,3-aminofluoranthene,3.31,3.49,-0.18,4.2,-0.818,-8.033,1,0.18
20,2-aminofluorene,1.93,1.73,0.2,3.14,-0.108,-8.106,1,0.2
21,2-amino-4’-nitrobiphenyl,-0.62,-0.42,-0.2,2.68,-1.148,-8.852,0,0.2
22,4-aminobiphenyl,-0.14,-0.34,0.2,2.86,0.048,-8.263,0,0.2
23,3-methoxy-4-methylaniline(o-cresidine),-1.96,-2.19,0.23,1.52,0.583,-8.274,0,0.23
24,2-aminocarbazole,0.6,0.84,-0.24,2.3,0.025,-8.023,1,0.24
25,2-amino-5-nitrophenol,-2.52,-2.26,-0.26,1.36,-0.923,-9.052,0,0.26
26,"2,2’-diaminobiphenyl",-1.52,-1.79,0.27,1.58,0.267,-8.193,0,0.27
27,2-hydroxy-7-aminofluorene,0.41,0.69,-0.28,2.03,-0.127,-7.998,1,0.28
28,1-aminophenanthrene,2.38,2.01,0.37,3.26,-0.357,-8.132,1,0.37
29,"2,5-dimethylaniline(2,5-xylidine)",-2.4,-2.02,-0.38,1.83,0.581,-8.404,0,0.38
30,4-amino-2’-nitrobiphenyl,-0.92,-0.53,-0.39,2.68,-0.554,-8.597,0,0.39
31,2-amino-4-methylphenol,-2.1,-2.5,0.4,1.16,0.478,-8.274,0,0.4
32,2-aminophenazine,0.55,0.97,-0.42,2.18,-1.165,-8.495,1,0.42
33,4-aminophenylsulfide,0.31,-0.13,0.44,2.18,0.047,-7.528,0,0.44
34,"2,4-dinitroaniline",-2,-2.46,0.46,1.84,-1.491,-9.931,0,0.46
35,"2,4-diaminoisopropylbenzene",-3,-2.53,-0.47,1.12,0.722,-8.121,0,0.47
36,"2,4-difluoroaniline",-2.7,-2.22,-0.48,1.54,-0.085,-8.695,0,0.48
