No.	Name	Description	Block ID	Block	Sub-Block	
1	MW	molecular weight	1	Constitutional indices	Basic descriptors	1
2	AMW	average molecular weight	1	Constitutional indices	Basic descriptors	1
3	Sv	sum of atomic van der Waals volumes (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
4	Se	sum of atomic Sanderson electronegativities (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
5	Sp	sum of atomic polarizabilities (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
6	Si	sum of first ionization potentials (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
7	Mv	mean atomic van der Waals volume (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
8	Me	mean atomic Sanderson electronegativity (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
9	Mp	mean atomic polarizability (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
10	Mi	mean first ionization potential (scaled on Carbon atom)	1	Constitutional indices	Basic descriptors	1
11	nAT	number of atoms	1	Constitutional indices	Basic descriptors	1
12	nSK	number of non-H atoms	1	Constitutional indices	Basic descriptors	1
13	nBT	number of bonds	1	Constitutional indices	Basic descriptors	1
14	nBO	number of non-H bonds	1	Constitutional indices	Basic descriptors	1
15	nBM	number of multiple bonds	1	Constitutional indices	Basic descriptors	1
16	SCBO	sum of conventional bond orders (H-depleted)	1	Constitutional indices	Basic descriptors	1
17	RBN	number of rotatable bonds	1	Constitutional indices	Basic descriptors	1
18	RBF	rotatable bond fraction	1	Constitutional indices	Basic descriptors	1
19	nDB	number of double bonds	1	Constitutional indices	Basic descriptors	1
20	nTB	number of triple bonds	1	Constitutional indices	Basic descriptors	1
21	nAB	number of aromatic bonds	1	Constitutional indices	Basic descriptors	1
22	nH	number of Hydrogen atoms	1	Constitutional indices	Basic descriptors	1
23	nC	number of Carbon atoms	1	Constitutional indices	Basic descriptors	1
24	nN	number of Nitrogen atoms	1	Constitutional indices	Basic descriptors	1
25	nO	number of Oxygen atoms	1	Constitutional indices	Basic descriptors	1
26	nP	number of Phosphorous atoms	1	Constitutional indices	Basic descriptors	1
27	nS	number of Sulfur atoms	1	Constitutional indices	Basic descriptors	1
28	nF	number of Fluorine atoms	1	Constitutional indices	Basic descriptors	1
29	nCL	number of Chlorine atoms	1	Constitutional indices	Basic descriptors	1
30	nBR	number of Bromine atoms	1	Constitutional indices	Basic descriptors	1
31	nI	number of Iodine atoms	1	Constitutional indices	Basic descriptors	1
32	nB	number of Boron atoms	1	Constitutional indices	Basic descriptors	1
33	nHM	number of heavy atoms	1	Constitutional indices	Basic descriptors	1
34	nHet	number of heteroatoms	1	Constitutional indices	Basic descriptors	1
35	nX	number of halogen atoms	1	Constitutional indices	Basic descriptors	1
36	H%	percentage of H atoms	1	Constitutional indices	Basic descriptors	1
37	C%	percentage of C atoms	1	Constitutional indices	Basic descriptors	1
38	N%	percentage of N atoms	1	Constitutional indices	Basic descriptors	1
39	O%	percentage of O atoms	1	Constitutional indices	Basic descriptors	1
40	X%	percentage of halogen atoms	1	Constitutional indices	Basic descriptors	1
41	nCsp3	number of sp3 hybridized Carbon atoms	1	Constitutional indices	Basic descriptors	1
42	nCsp2	number of sp2 hybridized Carbon atoms	1	Constitutional indices	Basic descriptors	1
43	nCsp	number of sp hybridized Carbon atoms	1	Constitutional indices	Basic descriptors	1
44	nCIC	number of rings (cyclomatic number)	2	Ring descriptors	Basic descriptors	1
45	nCIR	number of circuits	2	Ring descriptors	Basic descriptors	1
46	TRS	total ring size	2	Ring descriptors	Basic descriptors	1
47	Rperim	ring perimeter	2	Ring descriptors	Basic descriptors	1
48	Rbrid	ring bridge count	2	Ring descriptors	Basic descriptors	1
49	MCD	molecular cyclized degree	2	Ring descriptors	Basic descriptors	1
50	RFD	ring fusion density	2	Ring descriptors	Basic descriptors	1
