ID,CAS,logP_estimated,logP_observed,SMILES,Chemical,Yexp.,Ypred.Mod3,Ypred.MCI,Ypred.BCFWIN,VIM,MATS2m,GATS2e,H6p,nHAcc
1,107-06-2,1.83,1.48,ClCCCl,"1,2-Dichloroethane",0.3,0.35,0.57,0.44,1.97,0.99,2.33,0,0
2,67-66-3,1.52,1.97,C(Cl)(Cl)Cl,Trichloromethane,0.78,0.27,1.23,0.82,1.97,0.97,1.97,0,0
3,79-34-5,2.19,2.39,C(C(Cl)Cl)(Cl)Cl,"1,1,2,2-Tetrachloroethane",0.9,1.46,1.78,1.14,2.56,0.99,2.33,0,0
4,79-01-6,2.47,2.42,C(=CCl)(Cl)Cl,Trichloroethylene,1.59,1.11,1.78,1.16,2.29,1,2.15,0,0
5,71-55-6,2.68,2.49,C(Cl)(Cl)(Cl)C,"1,1,1-Trichloroethane",0.95,1.65,1.52,1.22,2.29,1,0.75,0,0
6,127-18-4,2.97,3.4,C(=C(Cl)Cl)(Cl)Cl,Tetrachloroethylene,1.74,1.46,2.37,1.92,2.56,1,2.5,0,0
7,56-23-5,2.44,2.83,C(Cl)(Cl)(Cl)Cl,Tetrachloromethane,1.48,1.51,1.54,1.48,2.29,0.97,0,0,0
8,76-01-7,3.11,3.22,C(C(Cl)Cl)(Cl)(Cl)Cl,Pentachloroethane,1.83,1.96,2.18,1.78,2.78,1,2.14,0,0
9,67-72-1,4.03,4.14,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Hexachloroethane,2.92,2.25,2.6,2.49,2.98,1,2.33,0,0
10,87-68-3,4.72,4.78,C(=C(C(=C(Cl)Cl)Cl)Cl)(Cl)Cl,"1,1,2,3,4,4-Hexachloro-1,3-Butadiene",3.83,2.96,3.7,2.98,3.29,1.01,2.5,0,0
11,71-43-2,1.99,2.13,c(cccc1)c1,Benzene,0.64,0.64,1.2,0.94,2.59,0.94,2.44,0,0
12,108-88-3,2.54,2.73,c(cccc1)(c1)C,Toluene,1.12,1.27,1.69,1.4,2.8,0.95,2.03,0,0
13,100-42-5,2.89,2.95,c(cccc1)(c1)C=C,Styrene,1.13,1.4,1.84,1.57,2.98,0.94,2.19,0.01,0
14,100-41-4,3.03,3.15,c(cccc1)(c1)CC,Ethylbenzene,1.19,1.47,1.7,1.73,2.98,0.95,2.17,0.01,0
15,95-47-6,3.09,3.12,c(c(ccc1)C)(c1)C,o-Xylene,1.24,1.74,2.19,1.7,2.98,0.95,1.79,0,0
16,108-38-3,3.09,3.2,c(cccc1C)(c1)C,m-Xylene,1.27,1.66,2.2,1.76,2.98,0.95,1.79,0.05,0
17,106-42-3,3.09,3.15,c(ccc(c1)C)(c1)C,p-Xylene,1.27,1.73,2.19,1.73,2.98,0.95,1.79,0,0
18,622-97-9,3.44,,c(ccc(c1)C=C)(c1)C,p-Methylstyrene,1.5,1.87,2.34,1.95,3.14,0.95,1.9,0.01,0
19,100-80-1,3.44,,c(cccc1C=C)(c1)C,m-Methylstyrene,1.55,1.87,2.35,1.95,3.15,0.95,1.9,0.01,0
20,98-82-8,3.45,3.66,c(cccc1)(c1)C(C)C,Isopropylbenzene,1.55,1.76,2.26,2.12,3.15,0.94,2.05,0.01,0
21,2719-61-1,7.87,8.19,c1ccccc1C(C)CCCCCCCCCC,2-Phenyldodecane,2.65,2.72,3.7,1.68,4.14,0.93,2.55,0.21,0
22,29082-74-4,7.46,,Clc(c(Cl)c(Cl)c1C(Cl)=C(Cl)Cl)c(Cl)c1Cl,Octachlorostyrene,4.52,4.32,4.83,4.18,3.97,1.03,2.19,0.08,0
23,91-20-3,3.17,3.3,c(c(ccc1)ccc2)(c1)c2,Naphtalene,1.64,2.07,2.21,1.84,3.31,0.95,2.04,0,0
24,208-96-8,3.94,3.94,c1ccc2cccc3c2c1C=C3,Acenaphtylene,2.58,2.68,2.69,2.33,3.57,0.95,1.76,0,0
25,83-32-9,4.15,3.92,c(c(ccc1)ccc2)(c1CC3)c23,Acenaphtalene,2.59,2.63,2.53,2.32,3.57,0.95,1.83,0,0
26,92-52-4,3.76,3.98,c(c(cccc1)c1)(cccc2)c2,Biphenyl,2.64,2.45,2.87,2.37,3.56,0.94,2.14,0,0
27,120-12-7,4.35,4.45,c(c(ccc1)cc(c2ccc3)c3)(c1)c2,Anthracene,2.83,2.94,3.35,2.73,3.79,0.95,1.88,0.02,0
28,91-57-6,3.72,3.86,c(c(ccc1C)ccc2)(c2)c1,2-Methylnaphtalene,3.2,2.43,2.73,2.27,3.44,0.95,1.8,0.01,0
29,86-73-7,4.02,4.18,c(c(c(c1ccc2)c2)ccc3)(c3)C1,Fluorene,3.23,2.76,2.97,2.52,3.68,0.95,1.85,0.02,0
30,85-01-8,4.35,4.46,c(c(c(c(c1)ccc2)c2)ccc3)(c1)c3,Phenanthrene,3.42,2.94,3.33,2.73,3.79,0.95,1.88,0.02,0
31,50-32-8,6.11,6.13,c(c(c(cc1)ccc2)c2cc3)(c3cc(c4ccc5)c5)c14,Benzo[a]pyrene,3.42,3.92,4.76,4.02,4.3,0.95,1.65,0.05,0
32,129-00-0,4.93,4.88,c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34,Pyrene,3.43,3.44,3.8,3.06,3.99,0.95,1.69,0,0
33,2531-84-2,4.89,4.86,c1cc2c3ccc(C)cc3ccc2cc1,2-Methylphenanthrene,3.48,3.19,3.78,3.04,3.88,0.95,1.71,0.04,0
34,24423-11-8,4.99,5.16,c1cc2c3ccc(Cl)cc3ccc2cc1,2-Chlorophenanthrene,3.63,3.67,3.81,3.27,3.88,0.97,1.12,0.02,0
35,779-02-2,4.89,5.07,c(c(c(c(c1ccc2)c2)C)ccc3)(c3)c1,9-Methylanthracene,3.66,3.19,3.78,3.2,3.89,0.95,1.71,0.03,0
36,56-55-3,5.52,5.76,c(c(c(c(c1)ccc2)c2)cc(c3ccc4)c4)(c1)c3,Benzo[a]anthracene,4,3.56,4.37,3.74,4.15,0.95,1.79,0.05,0
37,108-90-7,2.64,2.84,c(cccc1)(c1)Cl,Chlorobenzene,1.85,1.97,1.73,1.49,2.8,0.98,1.22,0,0
38,95-50-1,3.28,3.43,c(c(ccc1)Cl)(c1)Cl,"1,2-Dichlorobenzene",2.48,2.56,2.26,1.94,2.98,0.99,1.29,0,0
39,106-46-7,3.28,3.44,c(ccc(c1)Cl)(c1)Cl,"1,4-Dichlorobenzene",2.52,2.55,2.26,1.95,2.98,0.99,1.29,0,0
40,541-73-1,3.28,3.53,c(cccc1Cl)(c1)Cl,"1,3-Dichlorobenzene",2.65,2.56,2.27,2.02,2.98,0.99,1.29,0,0
41,87-61-6,3.93,4.05,c(c(c(cc1)Cl)Cl)(c1)Cl,"1,2,3-Trichlorobenzene",3.11,2.99,2.76,2.42,3.15,1.01,1.44,0,0
42,120-82-1,3.93,4.02,c(ccc(c1Cl)Cl)(c1)Cl,"1,2,4-Trichlorobenzene",3.26,2.99,2.77,2.4,3.15,1.01,1.44,0,0
43,634-90-2,4.57,4.56,c(cc(c(c1Cl)Cl)Cl)(c1)Cl,"1,2,3,5 Tetrachlorobenzene",3.36,3.29,3.24,2.81,3.3,1.02,1.65,0,0
44,108-70-3,3.93,4.19,c(cc(cc1Cl)Cl)(c1)Cl,"1,3,5-Trichlorobenzene",3.38,2.99,2.79,2.53,3.15,1.01,1.44,0,0
45,95-94-3,4.57,4.64,c(c(cc(c1Cl)Cl)Cl)(c1)Cl,"1,2,4,5-Tetrachlorobenzene",3.76,3.29,3.24,2.87,3.3,1.02,1.65,0,0
46,634-66-2,4.57,4.6,c(c(c(c(c1)Cl)Cl)Cl)(c1)Cl,"1,2,3,4-Tetrachlorobenzene",3.77,3.29,3.22,2.84,3.3,1.02,1.65,0,0
47,608-93-5,5.22,5.17,c(c(c(c(c1Cl)Cl)Cl)Cl)(c1)Cl,Pentachlorobenzene,3.86,3.52,3.64,3.28,3.44,1.02,1.97,0,0
48,6639-30-1,4.47,4.56,c(c(cc(c1Cl)Cl)Cl)(c1)C,"2,4,5-Trichlorotoluene",3.87,3.33,3.21,2.81,3.3,1.01,1.24,0,0
49,118-74-1,5.86,5.73,c(c(c(c(c1Cl)Cl)Cl)Cl)(c1Cl)Cl,Hexachlorobenzene,4.26,3.64,3.99,3.71,3.56,1.03,2.44,0,0
50,108-86-1,2.88,2.99,c(cccc1)(c1)Br,Bromobenzene,1.7,2.1,1.96,1.6,2.8,0.98,1.25,0,0
51,108-36-1,3.77,3.75,c(cccc1Br)(c1)Br,"1,3-Dibromobenzene",2.8,2.78,2.68,2.19,2.98,1.01,1.24,0,0
52,106-37-6,3.77,3.79,c(ccc(c1)Br)(c1)Br,"1,4-Dibromobenzene",2.83,2.77,2.67,2.22,2.98,1.01,1.24,0,0
53,87-82-1,7.33,6.07,c(c(c(c(c1Br)Br)Br)Br)(c1Br)Br,Hexabromobenzene,3.04,3.83,3.84,3.97,3.56,1.04,2.44,0,0
54,583-53-9,3.77,3.64,c(c(ccc1)Br)(c1)Br,"1,2-Dibromobenzene",3.1,2.78,2.67,2.1,2.98,1.01,1.24,0,0
55,615-54-3,4.66,,c(ccc(c1Br)Br)(c1)Br,"1,2,4-Tribromobenzene",3.66,3.22,3.26,2.89,3.15,1.02,1.36,0,0
56,636-28-2,5.55,5.13,c(c(cc(c1Br)Br)Br)(c1)Br,"1,2,4,5-Tetrabromobenzene",3.79,3.52,3.67,3.25,3.3,1.03,1.57,0,0
57,626-39-1,4.66,4.51,c(cc(cc1Br)Br)(c1)Br,"1,3,5-Tribromobenzene",3.85,3.22,3.28,2.77,3.15,1.02,1.36,0,0
58,2234-13-1,8.33,8.24,c(c(c(c(c1Cl)Cl)Cl)c(c(c2Cl)Cl)Cl)(c1Cl)c2Cl,Octachloronaphtalene,3.44,4.84,4.97,3.73,4.15,1.03,2.04,0,0
59,1825-31-6,4.46,4.66,c(c(c(cc1)Cl)ccc2)(c1Cl)c2,"1,4-Dichloronaphtalene",3.56,3.47,3.26,3.51,3.57,0.99,1.15,0,0
60,91-58-7,3.81,3.98,c(c(ccc1Cl)ccc2)(c2)c1,2-Monochloronaphtalene,3.63,2.99,2.77,2.37,3.44,0.97,1.14,0,0
61,2050-74-0,4.46,4.3,c(c(c(cc1)Cl)c(cc2)Cl)(c1)c2,"1,8-Dichloronaphtalene",3.79,3.47,3.26,3.23,3.57,0.99,1.15,0,0
62,2050-75-1,4.46,4.42,c(c(ccc1)cc(c2Cl)Cl)(c1)c2,"2,3-Dichloronaphtalene",4.04,3.47,3.28,3.32,3.57,0.99,1.15,0,0
63,2198-77-8,4.46,4.81,c(c(ccc1Cl)ccc2Cl)(c1)c2,"2,7-Dichloronaphtalene",4.04,3.47,3.28,3.62,3.56,0.99,1.15,0,0
64,20020-02-4,5.75,5.75,c1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1,"1,2,3,4-Tetrachloronaphtalene",4.1,4.13,4.09,4.35,3.79,1.01,1.31,0,0
65,31604-28-1,5.75,5.76,c1cc(Cl)c2cc(Cl)cc(Cl)c2c1Cl,"1,3,5,8-Tetrachloronaphtalene",4.4,4.13,4.13,4.36,3.79,1.01,1.31,0,0
66,55720-37-1,5.1,5.35,Clc1ccc2cc(Cl)cc(Cl)c2c1,"1,3,7-Trichloronaphtalene",4.43,3.84,3.73,4.04,3.68,1,1.21,0,0
67,53555-64-9,5.75,6.19,Clc1cc(Cl)c2cc(Cl)cc(Cl)c2c1,"1,3,5,7-Tetrachloronaphtalene",4.53,4.13,4.13,4.69,3.79,1.01,1.31,0,0
68,2051-62-9,4.4,4.61,Clc1ccc(cc1)c2ccccc2,4-Chlorobiphenyl,2.69,3.31,3.37,2.85,3.68,0.97,1.2,0,0
69,13029-08-8,5.05,4.97,Clc1ccccc1c2ccccc2Cl,"2,2-Dichlorobiphenyl",3.26,3.74,3.82,3.75,3.79,0.98,1.17,0,0
70,2050-68-2,5.05,5.23,Clc1ccc(cc1)c2ccc(Cl)cc2,"4,4-Dichlorobiphenyl",3.28,3.73,3.83,3.95,3.78,0.98,1.17,0,0
71,39485-83-1,6.98,,Clc1c(c(cc(c1)Cl)Cl)c2ccc(cc2Cl)Cl,"2,2,4,4,6-Pentachlorobiphenyl",3.37,4.58,4.82,5.29,4.06,1.01,1.35,0,0
72,33284-50-3,5.05,5.16,Clc1ccc(c(Cl)c1)c2ccccc2,"2,4-Dichlorobiphenyl",3.55,3.73,3.83,3.89,3.78,0.98,1.17,0,0
73,16606-02-3,5.69,5.69,Clc1ccc(cc1)c2cc(Cl)ccc2Cl,"2,4,5-Trichlorobiphenyl",3.75,3.89,4.22,4.3,3.88,0.99,1.21,0.11,0
74,34883-41-5,5.05,5.41,c1ccccc1c2cc(Cl)cc(Cl)c2,"3,5-Dichlorobiphenyl",3.78,3.74,3.85,4.09,3.78,0.98,1.17,0,0
