CAS,NAME,LogP,LogBCF,Calc,LogPEstimated,SMILES
000050-29-3,"P,P'-DDT",6.91,4.47,4.62,6.79,c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl
000050-32-8,BENZO(A)PYRENE,5.97,2.96,3.9,6.11,c(c(c(cc1)ccc2)c2cc3)(c3cc(c4ccc5)c5)c14
000051-28-5,"2,4-DINITROPHENOL",1.67,0.57,0.59,1.73,O=N(=O)c(ccc(O)c1N(=O)=O)c1
000055-38-9,FENTHION,4.09,1.99,2.45,4.08,COP(=S)(OC)Oc1ccc(SC)c(C)c1
000055-63-0,"1,2,3-PROPANETRIOL TRINITRATE",1.62,0.9,0.55,1.51,O=N(=O)OCC(ON(=O)=O)CON(=O)=O
000056-23-5,CARBON TETRACHLORIDE,2.83,1.48,1.48,2.44,C(Cl)(Cl)(Cl)Cl
000056-35-9,BIS(TRI-N-BUTYLTIN) OXIDE,3.84,3.2,3.66,4.05,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
000056-38-2,PARATHION,3.83,2.2,2.25,3.73,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
000057-15-8,"B,B,B-TRICHLORO-T-BUTANOL",2.03,0.23,0.86,2.09,OC(C(Cl)(Cl)Cl)(C)C
000057-74-9,CHLORDANE,6.16,4.34,4.04,6.26,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
000058-89-9,LINDANE,3.72,2.67,2.16,4.26,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl
000058-90-2,"2,3,4,6-TETRACHLOROPHENOL",4.45,2.3,2.33,4.09,Oc(c(cc(c1Cl)Cl)Cl)c1Cl
000059-50-7,3-METHYL-4-CHLOROPHENOL,3.1,0.89,1.69,2.7,Oc(ccc(c1C)Cl)c1
000060-29-7,DIETHYL ETHER,0.89,0.6,0.5,1.05,O(CC)CC
000060-51-5,DIMETHOATE,0.78,0.2,0.5,0.28,O=C(NC)CSP(OC)(OC)=S
000060-57-1,DIELDRIN,5.4,3.65,3.46,5.45,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
000061-82-5,AMITROLE,-0.86,0.49,0.5,-0.47,n1nc(N)nc1
000062-38-4,PHENYLMERCURIC ACETATE,0.71,1.95,2,0.89,CC(=O)O[Hg]c1ccccc1
000062-44-2,P-PHENACETIN,1.58,1.48,0.52,1.67,CC(=O)Nc1ccc(OCC)cc1
000062-53-3,ANILINE,0.9,0.41,0.5,1.08,Nc(cccc1)c1
000062-56-6,THIOUREA,-1.08,0.3,0.5,-1.31,NC(=S)N
000062-73-7,DICHLORVOS,1.43,-0.3,-0.35,0.6,O=P(OC)(OC)OC=C(Cl)Cl
000063-25-2,1-NAPHTHYL-N-METHYLCARBAMATE,2.36,0.95,1.12,2.35,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC
000066-81-9,CYCLOHEXIMIDE,0.55,0.45,0.5,0.08,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2
000067-66-3,CHLOROFORM,1.97,0.78,0.82,1.52,C(Cl)(Cl)Cl
000067-68-5,DIMETHYL SULFOXIDE,-1.35,0.6,0.5,-1.22,O=S(C)C
000067-72-1,HEXACHLOROETHANE,3.91,2.85,2.31,4.03,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
000068-12-2,"N,N'-DIMETHYLFORMAMIDE",-1.01,-0.22,0.5,-0.93,O=CN(C)C
